Date,CO2_Value,CO2_Value_lag1,CO2_Value_lag2,CO2_Value_lag3,CO2_Value_lag4,CO2_Value_lag5,CO2_Value_lag6,CO2_Value_lag7,CO2_Value_lag8,CO2_Value_lag9,CO2_Value_lag10,CO2_Value_lag11,CO2_Value_lag12,CO2_Value_lag13,CO2_Value_lag14,CO2_Value_lag15
2023-01-16,74.79,77.05,77.05,77.05,77.41,76.17,77.75,78.75,74.75,74.75,74.75,76.21,75.09,80.72,83.4,83.4
2023-01-17,76.79,74.79,77.05,77.05,77.05,77.41,76.17,77.75,78.75,74.75,74.75,74.75,76.21,75.09,80.72,83.4
2023-01-18,80.48,76.79,74.79,77.05,77.05,77.05,77.41,76.17,77.75,78.75,74.75,74.75,74.75,76.21,75.09,80.72
2023-01-19,81.1,80.48,76.79,74.79,77.05,77.05,77.05,77.41,76.17,77.75,78.75,74.75,74.75,74.75,76.21,75.09
2023-01-20,82.28,81.1,80.48,76.79,74.79,77.05,77.05,77.05,77.41,76.17,77.75,78.75,74.75,74.75,74.75,76.21
2023-01-21,82.28,82.28,81.1,80.48,76.79,74.79,77.05,77.05,77.05,77.41,76.17,77.75,78.75,74.75,74.75,74.75
2023-01-22,82.28,82.28,82.28,81.1,80.48,76.79,74.79,77.05,77.05,77.05,77.41,76.17,77.75,78.75,74.75,74.75
2023-01-23,82.36,82.28,82.28,82.28,81.1,80.48,76.79,74.79,77.05,77.05,77.05,77.41,76.17,77.75,78.75,74.75
2023-01-24,78.87,82.36,82.28,82.28,82.28,81.1,80.48,76.79,74.79,77.05,77.05,77.05,77.41,76.17,77.75,78.75
2023-01-25,81.43,78.87,82.36,82.28,82.28,82.28,81.1,80.48,76.79,74.79,77.05,77.05,77.05,77.41,76.17,77.75
2023-01-26,86.43,81.43,78.87,82.36,82.28,82.28,82.28,81.1,80.48,76.79,74.79,77.05,77.05,77.05,77.41,76.17
2023-01-27,86.14,86.43,81.43,78.87,82.36,82.28,82.28,82.28,81.1,80.48,76.79,74.79,77.05,77.05,77.05,77.41
2023-01-28,86.14,86.14,86.43,81.43,78.87,82.36,82.28,82.28,82.28,81.1,80.48,76.79,74.79,77.05,77.05,77.05
2023-01-29,86.14,86.14,86.14,86.43,81.43,78.87,82.36,82.28,82.28,82.28,81.1,80.48,76.79,74.79,77.05,77.05
2023-01-30,86.53,86.14,86.14,86.14,86.43,81.43,78.87,82.36,82.28,82.28,82.28,81.1,80.48,76.79,74.79,77.05
2023-01-31,90.05,86.53,86.14,86.14,86.14,86.43,81.43,78.87,82.36,82.28,82.28,82.28,81.1,80.48,76.79,74.79
2023-02-01,92.38,90.05,86.53,86.14,86.14,86.14,86.43,81.43,78.87,82.36,82.28,82.28,82.28,81.1,80.48,76.79
2023-02-02,89.98,92.38,90.05,86.53,86.14,86.14,86.14,86.43,81.43,78.87,82.36,82.28,82.28,82.28,81.1,80.48
2023-02-03,90.24,89.98,92.38,90.05,86.53,86.14,86.14,86.14,86.43,81.43,78.87,82.36,82.28,82.28,82.28,81.1
2023-02-04,90.24,90.24,89.98,92.38,90.05,86.53,86.14,86.14,86.14,86.43,81.43,78.87,82.36,82.28,82.28,82.28
2023-02-05,90.24,90.24,90.24,89.98,92.38,90.05,86.53,86.14,86.14,86.14,86.43,81.43,78.87,82.36,82.28,82.28
2023-02-06,87.87,90.24,90.24,90.24,89.98,92.38,90.05,86.53,86.14,86.14,86.14,86.43,81.43,78.87,82.36,82.28
2023-02-07,87.32,87.87,90.24,90.24,90.24,89.98,92.38,90.05,86.53,86.14,86.14,86.14,86.43,81.43,78.87,82.36
2023-02-08,87.31,87.32,87.87,90.24,90.24,90.24,89.98,92.38,90.05,86.53,86.14,86.14,86.14,86.43,81.43,78.87
2023-02-09,88.01,87.31,87.32,87.87,90.24,90.24,90.24,89.98,92.38,90.05,86.53,86.14,86.14,86.14,86.43,81.43
2023-02-10,90.02,88.01,87.31,87.32,87.87,90.24,90.24,90.24,89.98,92.38,90.05,86.53,86.14,86.14,86.14,86.43
2023-02-11,90.02,90.02,88.01,87.31,87.32,87.87,90.24,90.24,90.24,89.98,92.38,90.05,86.53,86.14,86.14,86.14
2023-02-12,90.02,90.02,90.02,88.01,87.31,87.32,87.87,90.24,90.24,90.24,89.98,92.38,90.05,86.53,86.14,86.14
2023-02-13,89.22,90.02,90.02,90.02,88.01,87.31,87.32,87.87,90.24,90.24,90.24,89.98,92.38,90.05,86.53,86.14
2023-02-14,89.07,89.22,90.02,90.02,90.02,88.01,87.31,87.32,87.87,90.24,90.24,90.24,89.98,92.38,90.05,86.53
2023-02-15,91.29,89.07,89.22,90.02,90.02,90.02,88.01,87.31,87.32,87.87,90.24,90.24,90.24,89.98,92.38,90.05
2023-02-16,94.4,91.29,89.07,89.22,90.02,90.02,90.02,88.01,87.31,87.32,87.87,90.24,90.24,90.24,89.98,92.38
2023-02-17,93.13,94.4,91.29,89.07,89.22,90.02,90.02,90.02,88.01,87.31,87.32,87.87,90.24,90.24,90.24,89.98
2023-02-18,93.13,93.13,94.4,91.29,89.07,89.22,90.02,90.02,90.02,88.01,87.31,87.32,87.87,90.24,90.24,90.24
2023-02-19,93.13,93.13,93.13,94.4,91.29,89.07,89.22,90.02,90.02,90.02,88.01,87.31,87.32,87.87,90.24,90.24
2023-02-20,95.16,93.13,93.13,93.13,94.4,91.29,89.07,89.22,90.02,90.02,90.02,88.01,87.31,87.32,87.87,90.24
2023-02-21,97.08,95.16,93.13,93.13,93.13,94.4,91.29,89.07,89.22,90.02,90.02,90.02,88.01,87.31,87.32,87.87
2023-02-22,93.58,97.08,95.16,93.13,93.13,93.13,94.4,91.29,89.07,89.22,90.02,90.02,90.02,88.01,87.31,87.32
2023-02-23,94.34,93.58,97.08,95.16,93.13,93.13,93.13,94.4,91.29,89.07,89.22,90.02,90.02,90.02,88.01,87.31
2023-02-24,94.1,94.34,93.58,97.08,95.16,93.13,93.13,93.13,94.4,91.29,89.07,89.22,90.02,90.02,90.02,88.01
2023-02-25,94.1,94.1,94.34,93.58,97.08,95.16,93.13,93.13,93.13,94.4,91.29,89.07,89.22,90.02,90.02,90.02
2023-02-26,94.1,94.1,94.1,94.34,93.58,97.08,95.16,93.13,93.13,93.13,94.4,91.29,89.07,89.22,90.02,90.02
2023-02-27,96.85,94.1,94.1,94.1,94.34,93.58,97.08,95.16,93.13,93.13,93.13,94.4,91.29,89.07,89.22,90.02
2023-02-28,96.58,96.85,94.1,94.1,94.1,94.34,93.58,97.08,95.16,93.13,93.13,93.13,94.4,91.29,89.07,89.22
2023-03-01,93.72,96.58,96.85,94.1,94.1,94.1,94.34,93.58,97.08,95.16,93.13,93.13,93.13,94.4,91.29,89.07
2023-03-02,90.23,93.72,96.58,96.85,94.1,94.1,94.1,94.34,93.58,97.08,95.16,93.13,93.13,93.13,94.4,91.29
2023-03-03,89.07,90.23,93.72,96.58,96.85,94.1,94.1,94.1,94.34,93.58,97.08,95.16,93.13,93.13,93.13,94.4
