,Date,Temperature,Electricity Demand,Electricity Price,Gas Price,Gas Demand,interconn_fra,CO2_Value
0,2023-01-01,3.555,16139.166,63.01,70.45,,-1150.1620000000005,
1,2023-01-02,7.605,19598.72,157.13,52.85,,-38504.615,83.4
2,2023-01-03,4.7549996,22564.525,198.9,71.49,,-24817.762999999995,80.72
3,2023-01-04,0.805,23220.231,168.09,63.0,,32959.302,75.09
4,2023-01-05,0.85499996,23127.31399999999,151.45,58.0,,-11576.677999999987,76.21
5,2023-01-06,-0.895,19083.957,154.05,59.3,,-37548.481,74.75
6,2023-01-07,3.2050002,19856.62800000001,65.21,62.34,,-63848.31,
7,2023-01-08,9.755,19069.046,46.82,64.55,,-63010.639,
8,2023-01-09,9.455,23289.007,69.22,63.9,,-47659.529,78.75
9,2023-01-10,1.4549999,25059.93499999999,167.88,69.78,,-30517.365999999998,77.75
10,2023-01-11,6.355,25080.6,111.26,63.25,,6434.915000000008,76.17
11,2023-01-12,0.605,25518.506,136.8,61.7,,20609.243,77.41
12,2023-01-13,2.605,25566.19600000001,99.23,63.18,,14617.988,77.05
13,2023-01-14,-0.495,22111.045,94.23,61.79,,-33167.66599999999,
14,2023-01-15,5.7549996,19595.29200000001,47.74,60.13,,-26885.946,
15,2023-01-16,3.505,25055.64200000001,30.98,60.0,,-48449.014,74.79
16,2023-01-17,8.3550005,25681.562,32.67,52.9,,-39122.93399999999,76.79
17,2023-01-18,1.005,26305.814,26.38,55.8,,-42251.649,80.48
18,2023-01-19,0.90500003,26787.41900000001,59.2,57.52,,-39330.622,81.1
19,2023-01-20,8.1050005,26480.463,90.5,60.0,,-41907.189,82.28
20,2023-01-21,3.355,22259.497,92.79,66.0,,-50820.756,
21,2023-01-22,-2.595,20733.239,50.06,67.62,,-54063.614,
22,2023-01-23,-3.145,25926.744,93.71,64.04,,-30368.273,82.36
23,2023-01-24,-1.195,27222.28,99.46,62.23,,-23541.661000000004,78.87
24,2023-01-25,-2.195,27502.949,124.41,54.66,,-27123.569,81.43
25,2023-01-26,2.355,27511.999,96.69,52.15,,-37226.075,86.43
26,2023-01-27,-1.195,27644.61900000001,79.15,50.09,,-37267.412,86.14
27,2023-01-28,0.305,23169.859,72.57,56.18,,-46447.329,
28,2023-01-29,-2.945,21436.658,80.98,56.83,,-42909.565,
29,2023-01-30,-3.395,26605.678,168.96,53.75,,-34487.124,86.53
30,2023-01-31,-4.3450003,27522.288,155.33,54.2,,-37518.93099999999,90.05
31,2023-02-01,0.105000004,27663.64200000001,157.49,54.89,,-30893.048999999995,92.38
32,2023-02-02,-1.2950001,27602.743,177.88,57.57,,-22639.077,89.98
33,2023-02-03,-1.345,27340.58,175.26,54.8,,-9499.386,90.24
34,2023-02-04,-1.2950001,22922.063,177.01,58.25,,-50667.69700000001,
35,2023-02-05,2.555,20934.952,135.99,60.63,,-58266.943,
36,2023-02-06,-0.445,25851.87400000001,149.18,56.56,,-41522.44900000001,87.87
37,2023-02-07,-0.245,26849.258,151.92,55.64,,-35091.45499999999,87.32
38,2023-02-08,1.2049999,27320.739,164.54,53.13,,-32088.0,87.31
39,2023-02-09,3.405,27235.288,188.34,52.65,,-35453.624999999985,88.01
40,2023-02-10,0.85499996,27635.46200000001,186.66,52.49,,-41719.757,90.02
41,2023-02-11,-1.5450001,23091.742,179.53,55.07,,-51801.593,
42,2023-02-12,-1.195,21170.608,188.44,56.13,,-48144.171,
43,2023-02-13,-0.395,26131.10400000001,181.07,51.61,,-34928.871,89.22
44,2023-02-14,3.755,26671.699,181.33,51.04,,-41845.16899999999,89.07
45,2023-02-15,3.905,26675.55200000001,193.14,51.72,,-22144.036000000004,91.29
46,2023-02-16,0.755,26817.284,198.32,53.43,,-7974.528999999999,94.4
47,2023-02-17,0.40500003,26709.448,158.49,49.59,,10058.126000000002,93.13
48,2023-02-18,3.105,22192.295,161.51,47.95,,73326.484,
49,2023-02-19,4.105,20166.281,167.51,49.69,,22753.509000000002,
50,2023-02-20,5.4049997,24168.40100000001,177.14,47.69,,19394.999000000003,95.16
51,2023-02-21,5.0049996,25133.52200000001,206.83,49.52,,-25444.409,97.08
52,2023-02-22,3.605,25539.12800000001,203.74,48.5,,-21364.477,93.58
53,2023-02-23,5.9049997,25752.526,202.8,48.1,,-16649.751,94.34
54,2023-02-24,-1.745,26190.909,202.79,49.54,,8313.024000000001,94.1
55,2023-02-25,-2.845,22368.881,182.98,49.28,,40971.949,
56,2023-02-26,-3.095,20742.53,161.31,50.52,,-46432.248,
57,2023-02-27,-2.095,25598.348,155.73,49.29,,-48130.934,96.85
58,2023-02-28,-4.2450004,26900.41400000001,194.75,45.41,,-44615.832,96.58
59,2023-03-01,-3.945,27491.577,206.2,46.31,,-41033.847,93.72
60,2023-03-02,-2.5449998,27654.398,194.72,48.45,,-41778.03799999999,90.23
61,2023-03-03,-2.7949998,27403.09000000001,203.65,47.63,,-45572.31100000001,89.07
62,2023-03-04,-1.245,22891.322,185.92,48.16,,-40286.006,
63,2023-03-05,-1.3950001,20804.082,197.72,50.45,,-46854.302,
64,2023-03-06,4.9049997,25478.161,184.3,46.25,,-47950.002,89.9
65,2023-03-07,8.455,25873.26,162.21,44.2,,-39836.422,92.59
66,2023-03-08,10.1050005,25849.91,136.64,43.9,,-54173.413,94.7
67,2023-03-09,10.655001,25262.251,140.57,41.4,,-53171.083000000006,95.31
68,2023-03-10,7.805,25338.38600000001,91.25,46.25,,-47932.554,96.72
69,2023-03-11,8.505,21169.508,50.16,53.09,,-68441.97399999999,
70,2023-03-12,9.905001,19063.755,146.33,49.52,,-52560.432,
71,2023-03-13,8.305,23421.728,97.54,52.51,,-8939.897,94.26
72,2023-03-14,5.9049997,24318.14400000001,87.53,47.38,,-42387.921,89.8
73,2023-03-15,3.505,24646.356,192.15,46.48,,-33096.142,86.6
74,2023-03-16,4.9049997,24486.248,162.96,42.24,,-41751.135,84.43
75,2023-03-17,10.405001,24457.13000000001,126.96,42.83,,-56745.508,84.58
76,2023-03-18,5.5049996,20903.214,149.91,41.34,,-46018.846,
77,2023-03-19,4.205,18925.14,150.25,44.27,,-58356.94,
78,2023-03-20,3.7050002,23005.411,185.1,42.09,,-36373.774,85.11
79,2023-03-21,5.105,24353.23200000001,175.95,38.99,,-26426.826,86.88
80,2023-03-22,5.4049997,24413.861,162.7,40.18,,18508.808,86.77
81,2023-03-23,6.9049997,24177.75700000001,146.19,38.57,,-5996.096000000001,89.69
82,2023-03-24,8.905001,24225.515,105.76,41.73,,-2755.355,85.1
83,2023-03-25,8.255,20894.352,94.74,38.86,,14575.581999999997,
84,2023-03-26,8.505,18860.544,75.52,38.71,,-55258.38900000001,
85,2023-03-27,5.4049997,23150.792,158.82,40.0,,-41559.461,84.77
86,2023-03-28,4.955,23764.334,175.11,40.39,,-35041.741,86.88
87,2023-03-29,6.705,23975.479,143.02,39.88,,-38427.565999999984,87.81
88,2023-03-30,11.505,24108.952,80.47,36.69,,-40117.076,88.5
89,2023-03-31,9.905001,24346.61500000001,44.57,34.87,,-47574.155,89.48
90,2023-04-01,9.8550005,20486.828,76.72,43.13,,-23608.519,
91,2023-04-02,3.155,18945.028,58.86,43.81,,-24515.362999999994,
92,2023-04-03,2.905,22873.278,96.01,41.5,,-23846.803,93.24
93,2023-04-04,6.055,23615.342,115.91,44.14,,-32596.661999999993,92.46
94,2023-04-05,3.405,23393.614,166.55,41.74,,-33734.97,94.13
95,2023-04-06,5.9049997,20203.516,161.57,41.3,,-42675.199,94.15
96,2023-04-07,5.455,18371.279,184.59,39.42,,-54148.92500000001,
97,2023-04-08,6.955,18207.51,171.66,41.92,,-49851.283,
