Date,Electricity_Demand,Electricity_Demand_lag1,Electricity_Demand_lag2,Electricity_Demand_lag3,Electricity_Demand_lag4,Electricity_Demand_lag5,Electricity_Demand_lag6,Electricity_Demand_lag7,Electricity_Demand_lag8,Electricity_Demand_lag9,Electricity_Demand_lag10,Electricity_Demand_lag11,Electricity_Demand_lag12,Electricity_Demand_lag13,Electricity_Demand_lag14,Electricity_Demand_lag15
2023-01-16,25055.64200000001,19595.29200000001,22111.045,25566.19600000001,25518.506,25080.6,25059.93499999999,23289.007,19069.046,19856.62800000001,19083.957,23127.31399999999,23220.231,22564.525,19598.72,16139.166
2023-01-17,25681.562,25055.64200000001,19595.29200000001,22111.045,25566.19600000001,25518.506,25080.6,25059.93499999999,23289.007,19069.046,19856.62800000001,19083.957,23127.31399999999,23220.231,22564.525,19598.72
2023-01-18,26305.814,25681.562,25055.64200000001,19595.29200000001,22111.045,25566.19600000001,25518.506,25080.6,25059.93499999999,23289.007,19069.046,19856.62800000001,19083.957,23127.31399999999,23220.231,22564.525
2023-01-19,26787.41900000001,26305.814,25681.562,25055.64200000001,19595.29200000001,22111.045,25566.19600000001,25518.506,25080.6,25059.93499999999,23289.007,19069.046,19856.62800000001,19083.957,23127.31399999999,23220.231
2023-01-20,26480.463,26787.41900000001,26305.814,25681.562,25055.64200000001,19595.29200000001,22111.045,25566.19600000001,25518.506,25080.6,25059.93499999999,23289.007,19069.046,19856.62800000001,19083.957,23127.31399999999
2023-01-21,22259.497,26480.463,26787.41900000001,26305.814,25681.562,25055.64200000001,19595.29200000001,22111.045,25566.19600000001,25518.506,25080.6,25059.93499999999,23289.007,19069.046,19856.62800000001,19083.957
2023-01-22,20733.239,22259.497,26480.463,26787.41900000001,26305.814,25681.562,25055.64200000001,19595.29200000001,22111.045,25566.19600000001,25518.506,25080.6,25059.93499999999,23289.007,19069.046,19856.62800000001
2023-01-23,25926.744,20733.239,22259.497,26480.463,26787.41900000001,26305.814,25681.562,25055.64200000001,19595.29200000001,22111.045,25566.19600000001,25518.506,25080.6,25059.93499999999,23289.007,19069.046
2023-01-24,27222.28,25926.744,20733.239,22259.497,26480.463,26787.41900000001,26305.814,25681.562,25055.64200000001,19595.29200000001,22111.045,25566.19600000001,25518.506,25080.6,25059.93499999999,23289.007
2023-01-25,27502.949,27222.28,25926.744,20733.239,22259.497,26480.463,26787.41900000001,26305.814,25681.562,25055.64200000001,19595.29200000001,22111.045,25566.19600000001,25518.506,25080.6,25059.93499999999
2023-01-26,27511.999,27502.949,27222.28,25926.744,20733.239,22259.497,26480.463,26787.41900000001,26305.814,25681.562,25055.64200000001,19595.29200000001,22111.045,25566.19600000001,25518.506,25080.6
2023-01-27,27644.61900000001,27511.999,27502.949,27222.28,25926.744,20733.239,22259.497,26480.463,26787.41900000001,26305.814,25681.562,25055.64200000001,19595.29200000001,22111.045,25566.19600000001,25518.506
2023-01-28,23169.859,27644.61900000001,27511.999,27502.949,27222.28,25926.744,20733.239,22259.497,26480.463,26787.41900000001,26305.814,25681.562,25055.64200000001,19595.29200000001,22111.045,25566.19600000001
2023-01-29,21436.658,23169.859,27644.61900000001,27511.999,27502.949,27222.28,25926.744,20733.239,22259.497,26480.463,26787.41900000001,26305.814,25681.562,25055.64200000001,19595.29200000001,22111.045
2023-01-30,26605.678,21436.658,23169.859,27644.61900000001,27511.999,27502.949,27222.28,25926.744,20733.239,22259.497,26480.463,26787.41900000001,26305.814,25681.562,25055.64200000001,19595.29200000001
2023-01-31,27522.288,26605.678,21436.658,23169.859,27644.61900000001,27511.999,27502.949,27222.28,25926.744,20733.239,22259.497,26480.463,26787.41900000001,26305.814,25681.562,25055.64200000001
2023-02-01,27663.64200000001,27522.288,26605.678,21436.658,23169.859,27644.61900000001,27511.999,27502.949,27222.28,25926.744,20733.239,22259.497,26480.463,26787.41900000001,26305.814,25681.562
2023-02-02,27602.743,27663.64200000001,27522.288,26605.678,21436.658,23169.859,27644.61900000001,27511.999,27502.949,27222.28,25926.744,20733.239,22259.497,26480.463,26787.41900000001,26305.814
2023-02-03,27340.58,27602.743,27663.64200000001,27522.288,26605.678,21436.658,23169.859,27644.61900000001,27511.999,27502.949,27222.28,25926.744,20733.239,22259.497,26480.463,26787.41900000001
2023-02-04,22922.063,27340.58,27602.743,27663.64200000001,27522.288,26605.678,21436.658,23169.859,27644.61900000001,27511.999,27502.949,27222.28,25926.744,20733.239,22259.497,26480.463
2023-02-05,20934.952,22922.063,27340.58,27602.743,27663.64200000001,27522.288,26605.678,21436.658,23169.859,27644.61900000001,27511.999,27502.949,27222.28,25926.744,20733.239,22259.497
2023-02-06,25851.87400000001,20934.952,22922.063,27340.58,27602.743,27663.64200000001,27522.288,26605.678,21436.658,23169.859,27644.61900000001,27511.999,27502.949,27222.28,25926.744,20733.239
2023-02-07,26849.258,25851.87400000001,20934.952,22922.063,27340.58,27602.743,27663.64200000001,27522.288,26605.678,21436.658,23169.859,27644.61900000001,27511.999,27502.949,27222.28,25926.744
2023-02-08,27320.739,26849.258,25851.87400000001,20934.952,22922.063,27340.58,27602.743,27663.64200000001,27522.288,26605.678,21436.658,23169.859,27644.61900000001,27511.999,27502.949,27222.28
2023-02-09,27235.288,27320.739,26849.258,25851.87400000001,20934.952,22922.063,27340.58,27602.743,27663.64200000001,27522.288,26605.678,21436.658,23169.859,27644.61900000001,27511.999,27502.949
2023-02-10,27635.46200000001,27235.288,27320.739,26849.258,25851.87400000001,20934.952,22922.063,27340.58,27602.743,27663.64200000001,27522.288,26605.678,21436.658,23169.859,27644.61900000001,27511.999
2023-02-11,23091.742,27635.46200000001,27235.288,27320.739,26849.258,25851.87400000001,20934.952,22922.063,27340.58,27602.743,27663.64200000001,27522.288,26605.678,21436.658,23169.859,27644.61900000001
2023-02-12,21170.608,23091.742,27635.46200000001,27235.288,27320.739,26849.258,25851.87400000001,20934.952,22922.063,27340.58,27602.743,27663.64200000001,27522.288,26605.678,21436.658,23169.859
2023-02-13,26131.10400000001,21170.608,23091.742,27635.46200000001,27235.288,27320.739,26849.258,25851.87400000001,20934.952,22922.063,27340.58,27602.743,27663.64200000001,27522.288,26605.678,21436.658
2023-02-14,26671.699,26131.10400000001,21170.608,23091.742,27635.46200000001,27235.288,27320.739,26849.258,25851.87400000001,20934.952,22922.063,27340.58,27602.743,27663.64200000001,27522.288,26605.678
2023-02-15,26675.55200000001,26671.699,26131.10400000001,21170.608,23091.742,27635.46200000001,27235.288,27320.739,26849.258,25851.87400000001,20934.952,22922.063,27340.58,27602.743,27663.64200000001,27522.288
2023-02-16,26817.284,26675.55200000001,26671.699,26131.10400000001,21170.608,23091.742,27635.46200000001,27235.288,27320.739,26849.258,25851.87400000001,20934.952,22922.063,27340.58,27602.743,27663.64200000001
2023-02-17,26709.448,26817.284,26675.55200000001,26671.699,26131.10400000001,21170.608,23091.742,27635.46200000001,27235.288,27320.739,26849.258,25851.87400000001,20934.952,22922.063,27340.58,27602.743
2023-02-18,22192.295,26709.448,26817.284,26675.55200000001,26671.699,26131.10400000001,21170.608,23091.742,27635.46200000001,27235.288,27320.739,26849.258,25851.87400000001,20934.952,22922.063,27340.58
2023-02-19,20166.281,22192.295,26709.448,26817.284,26675.55200000001,26671.699,26131.10400000001,21170.608,23091.742,27635.46200000001,27235.288,27320.739,26849.258,25851.87400000001,20934.952,22922.063
2023-02-20,24168.40100000001,20166.281,22192.295,26709.448,26817.284,26675.55200000001,26671.699,26131.10400000001,21170.608,23091.742,27635.46200000001,27235.288,27320.739,26849.258,25851.87400000001,20934.952
2023-02-21,25133.52200000001,24168.40100000001,20166.281,22192.295,26709.448,26817.284,26675.55200000001,26671.699,26131.10400000001,21170.608,23091.742,27635.46200000001,27235.288,27320.739,26849.258,25851.87400000001
2023-02-22,25539.12800000001,25133.52200000001,24168.40100000001,20166.281,22192.295,26709.448,26817.284,26675.55200000001,26671.699,26131.10400000001,21170.608,23091.742,27635.46200000001,27235.288,27320.739,26849.258
2023-02-23,25752.526,25539.12800000001,25133.52200000001,24168.40100000001,20166.281,22192.295,26709.448,26817.284,26675.55200000001,26671.699,26131.10400000001,21170.608,23091.742,27635.46200000001,27235.288,27320.739
2023-02-24,26190.909,25752.526,25539.12800000001,25133.52200000001,24168.40100000001,20166.281,22192.295,26709.448,26817.284,26675.55200000001,26671.699,26131.10400000001,21170.608,23091.742,27635.46200000001,27235.288
2023-02-25,22368.881,26190.909,25752.526,25539.12800000001,25133.52200000001,24168.40100000001,20166.281,22192.295,26709.448,26817.284,26675.55200000001,26671.699,26131.10400000001,21170.608,23091.742,27635.46200000001
2023-02-26,20742.53,22368.881,26190.909,25752.526,25539.12800000001,25133.52200000001,24168.40100000001,20166.281,22192.295,26709.448,26817.284,26675.55200000001,26671.699,26131.10400000001,21170.608,23091.742
2023-02-27,25598.348,20742.53,22368.881,26190.909,25752.526,25539.12800000001,25133.52200000001,24168.40100000001,20166.281,22192.295,26709.448,26817.284,26675.55200000001,26671.699,26131.10400000001,21170.608
2023-02-28,26900.41400000001,25598.348,20742.53,22368.881,26190.909,25752.526,25539.12800000001,25133.52200000001,24168.40100000001,20166.281,22192.295,26709.448,26817.284,26675.55200000001,26671.699,26131.10400000001
2023-03-01,27491.577,26900.41400000001,25598.348,20742.53,22368.881,26190.909,25752.526,25539.12800000001,25133.52200000001,24168.40100000001,20166.281,22192.295,26709.448,26817.284,26675.55200000001,26671.699
2023-03-02,27654.398,27491.577,26900.41400000001,25598.348,20742.53,22368.881,26190.909,25752.526,25539.12800000001,25133.52200000001,24168.40100000001,20166.281,22192.295,26709.448,26817.284,26675.55200000001
