Date,Gas_Price,Gas_Price_lag1,Gas_Price_lag2,Gas_Price_lag3,Gas_Price_lag4,Gas_Price_lag5,Gas_Price_lag6,Gas_Price_lag7,Gas_Price_lag8,Gas_Price_lag9,Gas_Price_lag10,Gas_Price_lag11,Gas_Price_lag12,Gas_Price_lag13,Gas_Price_lag14,Gas_Price_lag15
2023-01-16,60.0,60.13,61.79,63.18,61.7,63.25,69.78,63.9,64.55,62.34,59.3,58.0,63.0,71.49,52.85,70.45
2023-01-17,52.9,60.0,60.13,61.79,63.18,61.7,63.25,69.78,63.9,64.55,62.34,59.3,58.0,63.0,71.49,52.85
2023-01-18,55.8,52.9,60.0,60.13,61.79,63.18,61.7,63.25,69.78,63.9,64.55,62.34,59.3,58.0,63.0,71.49
2023-01-19,57.52,55.8,52.9,60.0,60.13,61.79,63.18,61.7,63.25,69.78,63.9,64.55,62.34,59.3,58.0,63.0
2023-01-20,60.0,57.52,55.8,52.9,60.0,60.13,61.79,63.18,61.7,63.25,69.78,63.9,64.55,62.34,59.3,58.0
2023-01-21,66.0,60.0,57.52,55.8,52.9,60.0,60.13,61.79,63.18,61.7,63.25,69.78,63.9,64.55,62.34,59.3
2023-01-22,67.62,66.0,60.0,57.52,55.8,52.9,60.0,60.13,61.79,63.18,61.7,63.25,69.78,63.9,64.55,62.34
2023-01-23,64.04,67.62,66.0,60.0,57.52,55.8,52.9,60.0,60.13,61.79,63.18,61.7,63.25,69.78,63.9,64.55
2023-01-24,62.23,64.04,67.62,66.0,60.0,57.52,55.8,52.9,60.0,60.13,61.79,63.18,61.7,63.25,69.78,63.9
2023-01-25,54.66,62.23,64.04,67.62,66.0,60.0,57.52,55.8,52.9,60.0,60.13,61.79,63.18,61.7,63.25,69.78
2023-01-26,52.15,54.66,62.23,64.04,67.62,66.0,60.0,57.52,55.8,52.9,60.0,60.13,61.79,63.18,61.7,63.25
2023-01-27,50.09,52.15,54.66,62.23,64.04,67.62,66.0,60.0,57.52,55.8,52.9,60.0,60.13,61.79,63.18,61.7
2023-01-28,56.18,50.09,52.15,54.66,62.23,64.04,67.62,66.0,60.0,57.52,55.8,52.9,60.0,60.13,61.79,63.18
2023-01-29,56.83,56.18,50.09,52.15,54.66,62.23,64.04,67.62,66.0,60.0,57.52,55.8,52.9,60.0,60.13,61.79
2023-01-30,53.75,56.83,56.18,50.09,52.15,54.66,62.23,64.04,67.62,66.0,60.0,57.52,55.8,52.9,60.0,60.13
2023-01-31,54.2,53.75,56.83,56.18,50.09,52.15,54.66,62.23,64.04,67.62,66.0,60.0,57.52,55.8,52.9,60.0
2023-02-01,54.89,54.2,53.75,56.83,56.18,50.09,52.15,54.66,62.23,64.04,67.62,66.0,60.0,57.52,55.8,52.9
2023-02-02,57.57,54.89,54.2,53.75,56.83,56.18,50.09,52.15,54.66,62.23,64.04,67.62,66.0,60.0,57.52,55.8
2023-02-03,54.8,57.57,54.89,54.2,53.75,56.83,56.18,50.09,52.15,54.66,62.23,64.04,67.62,66.0,60.0,57.52
2023-02-04,58.25,54.8,57.57,54.89,54.2,53.75,56.83,56.18,50.09,52.15,54.66,62.23,64.04,67.62,66.0,60.0
2023-02-05,60.63,58.25,54.8,57.57,54.89,54.2,53.75,56.83,56.18,50.09,52.15,54.66,62.23,64.04,67.62,66.0
2023-02-06,56.56,60.63,58.25,54.8,57.57,54.89,54.2,53.75,56.83,56.18,50.09,52.15,54.66,62.23,64.04,67.62
2023-02-07,55.64,56.56,60.63,58.25,54.8,57.57,54.89,54.2,53.75,56.83,56.18,50.09,52.15,54.66,62.23,64.04
2023-02-08,53.13,55.64,56.56,60.63,58.25,54.8,57.57,54.89,54.2,53.75,56.83,56.18,50.09,52.15,54.66,62.23
2023-02-09,52.65,53.13,55.64,56.56,60.63,58.25,54.8,57.57,54.89,54.2,53.75,56.83,56.18,50.09,52.15,54.66
2023-02-10,52.49,52.65,53.13,55.64,56.56,60.63,58.25,54.8,57.57,54.89,54.2,53.75,56.83,56.18,50.09,52.15
2023-02-11,55.07,52.49,52.65,53.13,55.64,56.56,60.63,58.25,54.8,57.57,54.89,54.2,53.75,56.83,56.18,50.09
2023-02-12,56.13,55.07,52.49,52.65,53.13,55.64,56.56,60.63,58.25,54.8,57.57,54.89,54.2,53.75,56.83,56.18
2023-02-13,51.61,56.13,55.07,52.49,52.65,53.13,55.64,56.56,60.63,58.25,54.8,57.57,54.89,54.2,53.75,56.83
2023-02-14,51.04,51.61,56.13,55.07,52.49,52.65,53.13,55.64,56.56,60.63,58.25,54.8,57.57,54.89,54.2,53.75
