Date,interconn_fra,interconn_fra_lag1,interconn_fra_lag2,interconn_fra_lag3,interconn_fra_lag4,interconn_fra_lag5,interconn_fra_lag6,interconn_fra_lag7,interconn_fra_lag8,interconn_fra_lag9,interconn_fra_lag10,interconn_fra_lag11,interconn_fra_lag12,interconn_fra_lag13,interconn_fra_lag14,interconn_fra_lag15
2023-01-16,-48449.014,-26885.946,-33167.66599999999,14617.988,20609.243,6434.915000000008,-30517.366,-47659.529,-63010.639,-63848.31,-37548.481,-11576.677999999987,32959.302,-24817.762999999995,-38504.615,-1150.1620000000005
2023-01-17,-39122.93399999999,-48449.014,-26885.946,-33167.66599999999,14617.988,20609.243,6434.915000000008,-30517.366,-47659.529,-63010.639,-63848.31,-37548.481,-11576.677999999987,32959.302,-24817.762999999995,-38504.615
2023-01-18,-42251.649,-39122.93399999999,-48449.014,-26885.946,-33167.66599999999,14617.988,20609.243,6434.915000000008,-30517.366,-47659.529,-63010.639,-63848.31,-37548.481,-11576.677999999987,32959.302,-24817.762999999995
2023-01-19,-39330.622,-42251.649,-39122.93399999999,-48449.014,-26885.946,-33167.66599999999,14617.988,20609.243,6434.915000000008,-30517.366,-47659.529,-63010.639,-63848.31,-37548.481,-11576.677999999987,32959.302
2023-01-20,-41907.189,-39330.622,-42251.649,-39122.93399999999,-48449.014,-26885.946,-33167.66599999999,14617.988,20609.243,6434.915000000008,-30517.366,-47659.529,-63010.639,-63848.31,-37548.481,-11576.677999999987
2023-01-21,-50820.756,-41907.189,-39330.622,-42251.649,-39122.93399999999,-48449.014,-26885.946,-33167.66599999999,14617.988,20609.243,6434.915000000008,-30517.366,-47659.529,-63010.639,-63848.31,-37548.481
2023-01-22,-54063.614,-50820.756,-41907.189,-39330.622,-42251.649,-39122.93399999999,-48449.014,-26885.946,-33167.66599999999,14617.988,20609.243,6434.915000000008,-30517.366,-47659.529,-63010.639,-63848.31
2023-01-23,-30368.273,-54063.614,-50820.756,-41907.189,-39330.622,-42251.649,-39122.93399999999,-48449.014,-26885.946,-33167.66599999999,14617.988,20609.243,6434.915000000008,-30517.366,-47659.529,-63010.639
2023-01-24,-23541.661000000004,-30368.273,-54063.614,-50820.756,-41907.189,-39330.622,-42251.649,-39122.93399999999,-48449.014,-26885.946,-33167.66599999999,14617.988,20609.243,6434.915000000008,-30517.366,-47659.529
2023-01-25,-27123.569,-23541.661000000004,-30368.273,-54063.614,-50820.756,-41907.189,-39330.622,-42251.649,-39122.93399999999,-48449.014,-26885.946,-33167.66599999999,14617.988,20609.243,6434.915000000008,-30517.366
2023-01-26,-37226.075,-27123.569,-23541.661000000004,-30368.273,-54063.614,-50820.756,-41907.189,-39330.622,-42251.649,-39122.93399999999,-48449.014,-26885.946,-33167.66599999999,14617.988,20609.243,6434.915000000008
2023-01-27,-37267.412,-37226.075,-27123.569,-23541.661000000004,-30368.273,-54063.614,-50820.756,-41907.189,-39330.622,-42251.649,-39122.93399999999,-48449.014,-26885.946,-33167.66599999999,14617.988,20609.243
2023-01-28,-46447.329,-37267.412,-37226.075,-27123.569,-23541.661000000004,-30368.273,-54063.614,-50820.756,-41907.189,-39330.622,-42251.649,-39122.93399999999,-48449.014,-26885.946,-33167.66599999999,14617.988
2023-01-29,-42909.565,-46447.329,-37267.412,-37226.075,-27123.569,-23541.661000000004,-30368.273,-54063.614,-50820.756,-41907.189,-39330.622,-42251.649,-39122.93399999999,-48449.014,-26885.946,-33167.66599999999
2023-01-30,-34487.124,-42909.565,-46447.329,-37267.412,-37226.075,-27123.569,-23541.661000000004,-30368.273,-54063.614,-50820.756,-41907.189,-39330.622,-42251.649,-39122.93399999999,-48449.014,-26885.946
2023-01-31,-37518.93099999999,-34487.124,-42909.565,-46447.329,-37267.412,-37226.075,-27123.569,-23541.661000000004,-30368.273,-54063.614,-50820.756,-41907.189,-39330.622,-42251.649,-39122.93399999999,-48449.014
2023-02-01,-30893.048999999995,-37518.93099999999,-34487.124,-42909.565,-46447.329,-37267.412,-37226.075,-27123.569,-23541.661000000004,-30368.273,-54063.614,-50820.756,-41907.189,-39330.622,-42251.649,-39122.93399999999
2023-02-02,-22639.077,-30893.048999999995,-37518.93099999999,-34487.124,-42909.565,-46447.329,-37267.412,-37226.075,-27123.569,-23541.661000000004,-30368.273,-54063.614,-50820.756,-41907.189,-39330.622,-42251.649
2023-02-03,-9499.386,-22639.077,-30893.048999999995,-37518.93099999999,-34487.124,-42909.565,-46447.329,-37267.412,-37226.075,-27123.569,-23541.661000000004,-30368.273,-54063.614,-50820.756,-41907.189,-39330.622
2023-02-04,-50667.69700000001,-9499.386,-22639.077,-30893.048999999995,-37518.93099999999,-34487.124,-42909.565,-46447.329,-37267.412,-37226.075,-27123.569,-23541.661000000004,-30368.273,-54063.614,-50820.756,-41907.189
2023-02-05,-58266.943,-50667.69700000001,-9499.386,-22639.077,-30893.048999999995,-37518.93099999999,-34487.124,-42909.565,-46447.329,-37267.412,-37226.075,-27123.569,-23541.661000000004,-30368.273,-54063.614,-50820.756
2023-02-06,-41522.44900000001,-58266.943,-50667.69700000001,-9499.386,-22639.077,-30893.048999999995,-37518.93099999999,-34487.124,-42909.565,-46447.329,-37267.412,-37226.075,-27123.569,-23541.661000000004,-30368.273,-54063.614
2023-02-07,-35091.45499999999,-41522.44900000001,-58266.943,-50667.69700000001,-9499.386,-22639.077,-30893.048999999995,-37518.93099999999,-34487.124,-42909.565,-46447.329,-37267.412,-37226.075,-27123.569,-23541.661000000004,-30368.273
2023-02-08,-32088.0,-35091.45499999999,-41522.44900000001,-58266.943,-50667.69700000001,-9499.386,-22639.077,-30893.048999999995,-37518.93099999999,-34487.124,-42909.565,-46447.329,-37267.412,-37226.075,-27123.569,-23541.661000000004
2023-02-09,-35453.624999999985,-32088.0,-35091.45499999999,-41522.44900000001,-58266.943,-50667.69700000001,-9499.386,-22639.077,-30893.048999999995,-37518.93099999999,-34487.124,-42909.565,-46447.329,-37267.412,-37226.075,-27123.569
2023-02-10,-41719.757,-35453.624999999985,-32088.0,-35091.45499999999,-41522.44900000001,-58266.943,-50667.69700000001,-9499.386,-22639.077,-30893.048999999995,-37518.93099999999,-34487.124,-42909.565,-46447.329,-37267.412,-37226.075
